story_prompt,decide_model_gemini-2.5-flash,toggle_fill_coverage_by_llm,toggle_use_avg_llm_and_dsp_to_predict_align,toggle_use_dl_based_llm_and_dsp_alignment_predictor,toggle_use_dsp,toggle_use_dsp_to_predict_align,toggle_use_llm_to_predict_align,toggle_use_movie_bgms,toggle_use_narrator,BackgroundMellow_baseline
"A blue-skinned indigenous family battles futuristic human forces in a series of breathtaking aerial and ground skirmishes involving explosive weaponry and desperate escapes, highlighting their fierce resilience and familial bonds amidst chaos.",0.0,3.9400000000000004e-31,0.0,0.0,0.0,0.0,7.99e-41,0.0,0.0,0.0
"A calm restaurant conversation about violent films abruptly cuts to an explosive, over-the-top movie scene where a flamethrower-wielding soldier incinerates Nazis, then transitions to a vibrant montage of 1960s Los Angeles glamour and lively parties.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"A chilling montage reveals a descent into a brutal world where a stoic killer targets the innocent, while others arm themselves for a desperate, violent confrontation with an inevitable, sinister force.",0.0,0.0,0.0,0.0,0.008064516129,0.0,0.0,0.0,3.76e-12,0.0
"A helmet-clad soldier cautiously navigates a grimy, dimly lit urban corridor before being brutally ambushed by a bloodied operative, who then, protecting a young boy, plunges into a chaotic close-quarters gunfight against multiple assailants.",0.02757352941,0.0,9.97e-22,0.0,0.0,4.28e-12,0.0,0.0,0.0,0.002976190476
"A man's hopeful quip in a desolate landscape quickly escalates into a frantic montage of fiery explosions and intense gunfire featuring a fierce woman, before plunging into ominous darkness where a monstrous, reptilian creature reveals its terrifying presence to a petrified observer.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"A quiet suburban night is shattered by the aftermath of a home invasion, revealing a seemingly ordinary man's unsettling calm amidst police inquiries and family distress, hinting at a suppressed, dangerous nature.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"A quirky counselor interjects into a couple's seemingly troubled relationship, navigating their skepticism with a confident, slightly enigmatic demeanor across various domestic and public settings.",6.1e-06,0.0,3.41e-109,0.0,1.0100000000000001e-29,6.2799999999999995e-90,0.0,2.94e-40,0.0,0.0
"A seemingly idyllic suburban life quickly unravels into a supernatural horror, as a woman's transformation and an ominous prophecy lead her to a dark, unsettling forest.",0.0234375,0.0,0.0,0.0,5.65e-22,1.01e-13,0.0,0.0,3.85e-34,0.0
"A terrified woman's desperate flight from an unseen threat culminates in a horrific car collision on a desolate road, abruptly shifting to serene domestic scenes where mundane conversations about a troublesome tree hide a growing unease, underscored by glimpses of predatory wildlife in the night.",2.08e-11,0.0,8.08e-13,0.0,0.0,0.0,0.003289473684,0.0,0.0,0.0
"A weary James Bond confronts a skeptical M and a challenging superior about his past and readiness, before a massive explosion devastates a building, leaving a somber symbol of national loss in its wake.",0.002604166667,0.0,4.49e-15,1.26e-88,0.0,1.3799999999999999e-76,0.0,0.0,0.0,0.0
"A whirlwind montage of chaotic opulence, arrests, and extravagant revelry quickly transitions to a serene high-rise restaurant where a quirky mentor introduces a rhythmic, self-affirming ritual to a wide-eyed prot��g�� against the backdrop of a bustling city.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"A whirlwind montage of lavish excess, power-flaunting, and hints of impending legal scrutiny, showcasing a charismatic financial mogul surrounded by money, beautiful women, and luxurious settings, culminating in a confrontational yacht encounter with federal agents.",0.0,0.0,1.92e-50,0.04807692308,0.0,0.0,0.0,0.0,0.0,0.0
"A young woman in a dense, sun-dappled forest experiences growing terror as mysterious events unfold, interspersed with scenes of an older woman sharing unsettling stories indoors, culminating in the young woman's horrified realization of a monstrous presence.",0.0,0.0,0.0,1.62e-79,0.0,3.42e-51,0.0,0.0,0.0,0.0
"Amidst a crumbling future where humanity immerses itself in the vibrant virtual realm of the OASIS, a high-stakes hunt for dominance ignites, forcing characters to confront the perilous fusion of digital escapism and tangible consequences.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Amidst a rapid-fire montage of high-stakes combat, mysterious alien creatures, and colossal monsters unleash chaotic destruction across dark industrial settings and otherworldly forests, hinting at an epic, genre-bending war for survival.",1.82e-12,3.17e-22,1.24e-70,6.73e-80,4.22e-32,9.31e-61,4e-51,0.0,1.37e-41,0.007795698925
"Amidst scenes of meticulous scientific assembly in both sterile labs and desolate desert outposts, a profound and escalating tension builds as brilliant minds confront the monumental, world-altering implications of their creation.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"An armored, monstrous creature grunts and struggles to pull itself through a dense, muddy forest floor, punctuated by on-screen text, before a dramatic transition to the iconic studio logo and a final ominous silhouette of a warrior.",8.28e-10,6.33e-13,4.02e-77,6.96e-87,4.37e-29,2.6300000000000004e-32,3.6700000000000004e-58,1.36e-38,5.3099999999999993e-48,0.0
"As an ancient ritual inadvertently unleashes terrifying demonic forces upon a modern city, desperate citizens and heroes alike must confront overwhelming destruction and grotesque horrors, culminating in a poignant moment of familial fear amidst the chaos.",0.0001808449074,0.0,0.0,2.76e-24,0.0,5.479999999999999e-60,0.0,0.0,0.0,0.0
"Bruce Wayne and Alfred discuss the concept of subtlety within their urban environment, humorously juxtaposed with the powerful roar of a high-performance Lamborghini, before the scene dramatically cuts to a climactic title card reveal.",0.0,0.0,2.26e-22,0.0,0.0,0.003472222222,4.3e-12,0.0,9.7e-13,0.0
"Humans are relentlessly pursued and terrorized by ferocious, unseen forces and monstrous creatures in a series of dark, chaotic, and fiery encounters, fighting desperately for survival against overwhelming odds.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2100000000000002e-47,0.0,0.005681818182
"In a suburban park, a well-meaning but awkward father figure comically struggles to play football and connect with his stepson, while a supportive woman and a surprisingly athletic man later observe the budding friendship between the boys with smiles of approval.",0.0,0.0,0.0,0.0,0.0,0.06097560976,1.41e-75,0.0,0.0,0.004166666667
"The clip rapidly stitches together unsettling scenes of tense pursuit, fleeting confrontations, and sudden, brutal violence across desolate landscapes and dimly lit interiors, hinting at a relentless and dangerous cat-and-mouse game.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0376984127
"The clip rapidly transitions from intense night-time urban chaos and a distressed hospital scene to a desert car chase culminating in massive explosions and a frantic escape through a tunnel, before abruptly shifting to a serene rural landscape with calm conversation, setting a jarring contrast between high-stakes action and peaceful contemplation.",0.0,0.0,1.12e-80,9.45e-100,0.0,3.59e-69,0.0,0.0,0.0,0.0
"The final moments of the trailer reveal the film's stark title and essential creative credits against a dark, bokeh-lit backdrop, culminating in a series of production company logos, signifying a contemplative conclusion.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
