story_prompt,decide_model_gemini-2.5-flash,toggle_fill_coverage_by_llm,toggle_use_avg_llm_and_dsp_to_predict_align,toggle_use_dl_based_llm_and_dsp_alignment_predictor,toggle_use_dsp,toggle_use_dsp_to_predict_align,toggle_use_llm_to_predict_align,toggle_use_movie_bgms,toggle_use_narrator,BackgroundMellow_baseline,AudioLDM2,tango2
"A blue-skinned indigenous family battles futuristic human forces in a series of breathtaking aerial and ground skirmishes involving explosive weaponry and desperate escapes, highlighting their fierce resilience and familial bonds amidst chaos.",0.3949745297,0.2171099037,0.2902106643,0.28854087,0.369328618,0.3388683498,0.2831097841,0.3129884005,0.1824536175,0.2657301426,0.183007001876831,0.2196264863014221
"A calm restaurant conversation about violent films abruptly cuts to an explosive, over-the-top movie scene where a flamethrower-wielding soldier incinerates Nazis, then transitions to a vibrant montage of 1960s Los Angeles glamour and lively parties.",0.107850939,0.2254922092,0.1203179955,0.1156300157,0.1877561808,0.2290849388,0.112080954,0.1069335788,0.253088057,0.22188621014999999,0.3418424129486084,0.364980399608612
"A chilling montage reveals a descent into a brutal world where a stoic killer targets the innocent, while others arm themselves for a desperate, violent confrontation with an inevitable, sinister force.",0.2529122233,0.2095482051,0.2313688844,0.2005838305,0.2432760745,0.3442779779,0.1371150017,0.2516877651,0.1667012721,0.195968017,0.2136361300945282,0.1797914803028106
"A helmet-clad soldier cautiously navigates a grimy, dimly lit urban corridor before being brutally ambushed by a bloodied operative, who then, protecting a young boy, plunges into a chaotic close-quarters gunfight against multiple assailants.",0.2263560742,0.1777111739,0.2887674272,0.2524885833,0.2674708664,0.2310609519,0.1500800103,0.2822005451,0.1942449212,0.1899616718,0.2896931171417236,0.1171228885650634
"A man's hopeful quip in a desolate landscape quickly escalates into a frantic montage of fiery explosions and intense gunfire featuring a fierce woman, before plunging into ominous darkness where a monstrous, reptilian creature reveals its terrifying presence to a petrified observer.",0.4467481077,0.4278577864,0.3652221859,0.3848598003,0.4193745553,0.3491835594,0.07887284458,0.3533667624,0.2892823219,0.4384179711,0.5098064541816711,0.3822391033172607
"A quiet suburban night is shattered by the aftermath of a home invasion, revealing a seemingly ordinary man's unsettling calm amidst police inquiries and family distress, hinting at a suppressed, dangerous nature.",0.4085209072,0.1260416508,0.3301047981,0.0918360725,0.09535417706,0.4023574591,0.1597089767,0.3947283626,0.3647535145,0.3531554341,0.2784402072429657,0.1968158334493637
"A quirky counselor interjects into a couple's seemingly troubled relationship, navigating their skepticism with a confident, slightly enigmatic demeanor across various domestic and public settings.",0.4070548713,0.2926610708,0.2204022259,0.4280230999,0.303617537,0.274191916,0.30048877,0.2925492227,0.3850333393,0.3761355877,0.3063009083271026,-0.0180364232510328
"A seemingly idyllic suburban life quickly unravels into a supernatural horror, as a woman's transformation and an ominous prophecy lead her to a dark, unsettling forest.",0.03978021443,0.2382657826,0.07093976438,0.2344341278,0.1162018105,0.1737581193,0.1074522138,0.2686573565,0.1937560588,0.1624623835,0.3609542846679687,0.2350964844226837
"A terrified woman's desperate flight from an unseen threat culminates in a horrific car collision on a desolate road, abruptly shifting to serene domestic scenes where mundane conversations about a troublesome tree hide a growing unease, underscored by glimpses of predatory wildlife in the night.",0.4116522372,0.467376858,0.1019971818,0.2424865216,0.3923603296,0.1585487425,0.4491530955,0.05101942644,0.169961676,0.1687343419,0.2872787714004516,0.3364400565624237
"A weary James Bond confronts a skeptical M and a challenging superior about his past and readiness, before a massive explosion devastates a building, leaving a somber symbol of national loss in its wake.",0.1885503531,0.2285657078,0.0422102958,0.1633743644,0.1777784973,0.1758902669,0.1678222269,0.1711254716,0.1425088048,0.1403698325,0.4813364446163177,0.1051378548145294
"A whirlwind montage of chaotic opulence, arrests, and extravagant revelry quickly transitions to a serene high-rise restaurant where a quirky mentor introduces a rhythmic, self-affirming ritual to a wide-eyed prot��g�� against the backdrop of a bustling city.",0.1195540428,0.06449490786,0.1628357172,0.1709448397,0.07087890059,0.2342058867,0.1568243057,0.2119657546,0.1260496676,0.03504346684,0.3758019506931305,0.176844984292984
"A whirlwind montage of lavish excess, power-flaunting, and hints of impending legal scrutiny, showcasing a charismatic financial mogul surrounded by money, beautiful women, and luxurious settings, culminating in a confrontational yacht encounter with federal agents.",0.1265223324,0.2048432529,0.1008545235,0.1943785846,0.2732329965,0.3201362789,0.3164042234,0.2772946954,0.20798406,0.2864011228,0.3049693703651428,0.2729773223400116
"A young woman in a dense, sun-dappled forest experiences growing terror as mysterious events unfold, interspersed with scenes of an older woman sharing unsettling stories indoors, culminating in the young woman's horrified realization of a monstrous presence.",0.2263401002,0.2247528434,0.1682543457,0.1808930039,0.1594987661,0.1253710687,0.2948556244,0.2373032421,0.2998228669,0.07711856067,0.277565598487854,0.3118002414703369
"Amidst a crumbling future where humanity immerses itself in the vibrant virtual realm of the OASIS, a high-stakes hunt for dominance ignites, forcing characters to confront the perilous fusion of digital escapism and tangible consequences.",0.1478707194,0.09168625623,0.1531714499,0.06050986797,-0.004557203501,0.1191197708,0.04740426689,-0.003663839772,0.1783661246,0.1163443327,0.3127055764198303,0.0887259244918823
"Amidst a rapid-fire montage of high-stakes combat, mysterious alien creatures, and colossal monsters unleash chaotic destruction across dark industrial settings and otherworldly forests, hinting at an epic, genre-bending war for survival.",0.3074351549,0.2159928232,0.2709533572,0.2213980258,0.2784348726,0.1312536001,0.2592847645,0.1254887879,0.3220659792,0.2616547346,0.3860610723495483,0.2472285032272339
"Amidst scenes of meticulous scientific assembly in both sterile labs and desolate desert outposts, a profound and escalating tension builds as brilliant minds confront the monumental, world-altering implications of their creation.",0.1351628751,0.1572917998,0.08126272261,0.1181805953,0.1444513202,0.05975695699,0.04488830268,0.02873657644,0.05448202044,0.03936488181,0.3468196988105774,0.1116511449217796
"An armored, monstrous creature grunts and struggles to pull itself through a dense, muddy forest floor, punctuated by on-screen text, before a dramatic transition to the iconic studio logo and a final ominous silhouette of a warrior.",0.1626421064,0.263100028,0.1978962421,0.164141804,0.1040412784,0.1632270813,0.1570349336,0.2483159006,0.2037908882,0.2540344,0.4433574080467224,0.2613592147827148
"As an ancient ritual inadvertently unleashes terrifying demonic forces upon a modern city, desperate citizens and heroes alike must confront overwhelming destruction and grotesque horrors, culminating in a poignant moment of familial fear amidst the chaos.",0.1489979923,0.02805453911,0.2129616588,0.3093317747,0.1254899055,0.1023061574,0.1561302096,0.214760989,0.2216406465,0.2005158663,0.3718326091766357,0.2830329537391662
"Bruce Wayne and Alfred discuss the concept of subtlety within their urban environment, humorously juxtaposed with the powerful roar of a high-performance Lamborghini, before the scene dramatically cuts to a climactic title card reveal.",0.3523287773,0.4210199118,0.4052801728,0.4620834291,0.5471352339,0.4694410861,0.3689339459,0.4915468097,0.501113832,0.4096188843,0.4939205646514892,0.2620331645011902
"Humans are relentlessly pursued and terrorized by ferocious, unseen forces and monstrous creatures in a series of dark, chaotic, and fiery encounters, fighting desperately for survival against overwhelming odds.",-0.01029656082,0.01147151832,0.08041904867,0.05009480566,-0.05032988638,0.007221774664,0.02840087935,0.06352716684,0.03200878948,0.03880914301,0.2262606173753738,0.2754955291748047
"In a suburban park, a well-meaning but awkward father figure comically struggles to play football and connect with his stepson, while a supportive woman and a surprisingly athletic man later observe the budding friendship between the boys with smiles of approval.",0.07705805451,0.118608214,0.1287593395,0.250428915,0.1958720982,0.0180842597,0.1347980052,0.05254711956,0.1917301118,0.2555768192,0.1348046660423278,0.170665442943573
"The clip rapidly stitches together unsettling scenes of tense pursuit, fleeting confrontations, and sudden, brutal violence across desolate landscapes and dimly lit interiors, hinting at a relentless and dangerous cat-and-mouse game.",0.1113203838,0.1188202575,0.2071707547,0.2104031742,0.1747481972,0.1514993161,0.2435177416,0.1544735581,0.195301652,0.1328667998,0.289001852273941,0.2042564153671264
