story_prompt,decide_model_gemini-2.5-flash,toggle_fill_coverage_by_llm,toggle_use_avg_llm_and_dsp_to_predict_align,toggle_use_dl_based_llm_and_dsp_alignment_predictor,toggle_use_dsp,toggle_use_dsp_to_predict_align,toggle_use_llm_to_predict_align,toggle_use_movie_bgms,toggle_use_narrator,BackgroundMellow_baseline,AudioLDM2,tango2
"A blue-skinned indigenous family battles futuristic human forces in a series of breathtaking aerial and ground skirmishes involving explosive weaponry and desperate escapes, highlighting their fierce resilience and familial bonds amidst chaos.",88.79718113,87.28403058,86.80174618,58.96879263,48.67266224,88.56743789,87.65928541,57.97462595,59.46077346,73.62148623,76.20429171198052,9.044731293441972
"A calm restaurant conversation about violent films abruptly cuts to an explosive, over-the-top movie scene where a flamethrower-wielding soldier incinerates Nazis, then transitions to a vibrant montage of 1960s Los Angeles glamour and lively parties.",51.08296642,52.55156399,78.37611907,82.69088039,50.76214083,85.98333871,73.99823689,87.57797418,83.27504989,85.41581120000001,77.76384749849667,9.44885862187178
"A chilling montage reveals a descent into a brutal world where a stoic killer targets the innocent, while others arm themselves for a desperate, violent confrontation with an inevitable, sinister force.",72.64307308,85.91052932,81.94559527,75.08509644,71.8725837,198.9936628,198.9991707,82.44408362,81.8007251,198.8965546,74.56994118614803,9.21562895085555
"A helmet-clad soldier cautiously navigates a grimy, dimly lit urban corridor before being brutally ambushed by a bloodied operative, who then, protecting a young boy, plunges into a chaotic close-quarters gunfight against multiple assailants.",59.55174058,72.87608653,53.92598874,78.20290027,83.70820795,58.95237703,47.51920536,78.68006922,198.9994391,72.06321385,41.95137524224357,9.295681875350535
"A man's hopeful quip in a desolate landscape quickly escalates into a frantic montage of fiery explosions and intense gunfire featuring a fierce woman, before plunging into ominous darkness where a monstrous, reptilian creature reveals its terrifying presence to a petrified observer.",86.87700773,86.75872023,82.64257169,86.70020441,84.89692329,82.97809565,199.0768982,85.48229413,199.0140749,89.82728893,77.47084386360629,9.611468571858534
"A quiet suburban night is shattered by the aftermath of a home invasion, revealing a seemingly ordinary man's unsettling calm amidst police inquiries and family distress, hinting at a suppressed, dangerous nature.",86.08641342,86.20210042,87.42196656,84.92642457,80.52510192,85.14734264,198.9740061,83.65811099,79.92285473,85.05181427,74.14337289256437,9.214930035974854
"A quirky counselor interjects into a couple's seemingly troubled relationship, navigating their skepticism with a confident, slightly enigmatic demeanor across various domestic and public settings.",81.41347192,78.16314192,60.7988903,76.93530049,80.61731594,82.51386551,82.74026706,78.88440913,79.62207163,81.43970799,70.78165760588293,9.585085120631266
"A seemingly idyllic suburban life quickly unravels into a supernatural horror, as a woman's transformation and an ominous prophecy lead her to a dark, unsettling forest.",82.89459871,86.70156437,85.49874768,81.63362938,69.1112922,198.4164693,198.9055581,82.15086547,80.72517617,85.42105894,38.373016705491395,9.61558591853293
"A terrified woman's desperate flight from an unseen threat culminates in a horrific car collision on a desolate road, abruptly shifting to serene domestic scenes where mundane conversations about a troublesome tree hide a growing unease, underscored by glimpses of predatory wildlife in the night.",83.24451002,82.25861832,70.5769847,82.60444642,200.0634739,81.66745896,85.13718565,88.55589197,81.74718314,89.49279476,74.6732367311188,9.543444683574968
"A weary James Bond confronts a skeptical M and a challenging superior about his past and readiness, before a massive explosion devastates a building, leaving a somber symbol of national loss in its wake.",94.25549609,89.83084512,88.04107646,88.65816314,82.71901928,93.62443328,88.31222152,79.10951845,88.51173042,83.88196292,72.41088190872578,9.23218151550684
"A whirlwind montage of chaotic opulence, arrests, and extravagant revelry quickly transitions to a serene high-rise restaurant where a quirky mentor introduces a rhythmic, self-affirming ritual to a wide-eyed prot��g�� against the backdrop of a bustling city.",198.7974244,199.0041614,198.9979454,198.9941656,87.14329263,198.9892251,79.53078376,87.30622988,197.2279774,86.82089504,73.4154574532864,9.811959597842732
"A whirlwind montage of lavish excess, power-flaunting, and hints of impending legal scrutiny, showcasing a charismatic financial mogul surrounded by money, beautiful women, and luxurious settings, culminating in a confrontational yacht encounter with federal agents.",199.0096377,75.72378949,62.02211156,67.00505396,68.30828465,81.80777438,57.17383538,51.25886157,198.998523,83.21152216,76.47037323814011,9.085028278215834
"A young woman in a dense, sun-dappled forest experiences growing terror as mysterious events unfold, interspersed with scenes of an older woman sharing unsettling stories indoors, culminating in the young woman's horrified realization of a monstrous presence.",54.12596077,47.64267612,50.61769116,64.25174597,66.56565495,81.88925819,54.57271959,69.7230992,53.84644098,59.16861351,77.35005686978991,9.979329238815584
"Amidst a crumbling future where humanity immerses itself in the vibrant virtual realm of the OASIS, a high-stakes hunt for dominance ignites, forcing characters to confront the perilous fusion of digital escapism and tangible consequences.",51.98487916,83.04916976,86.32074879,52.93962799,188.3621804,198.9958401,198.9880449,200.0478625,48.48729535,76.89296538,78.03014330364678,11.013595942748626
"Amidst a rapid-fire montage of high-stakes combat, mysterious alien creatures, and colossal monsters unleash chaotic destruction across dark industrial settings and otherworldly forests, hinting at an epic, genre-bending war for survival.",49.40154293,65.58478474,55.08774184,51.85238231,60.30709313,87.95631648,56.70046165,58.50139593,83.07535947,76.55957876,17.074999171231084,9.509211419781716
"Amidst scenes of meticulous scientific assembly in both sterile labs and desolate desert outposts, a profound and escalating tension builds as brilliant minds confront the monumental, world-altering implications of their creation.",82.73160142,82.21344381,74.93576992,199.0019914,53.4706594,66.07772808,54.95363938,87.48247412,87.53049528,85.29880721,74.62401715979199,9.16783990623292
"An armored, monstrous creature grunts and struggles to pull itself through a dense, muddy forest floor, punctuated by on-screen text, before a dramatic transition to the iconic studio logo and a final ominous silhouette of a warrior.",198.9506268,198.9959633,85.14969651,84.46166647,65.75046705,80.537451,198.8853511,71.65287668,74.75694753,198.8751222,78.5337452772701,9.23762460283701
"As an ancient ritual inadvertently unleashes terrifying demonic forces upon a modern city, desperate citizens and heroes alike must confront overwhelming destruction and grotesque horrors, culminating in a poignant moment of familial fear amidst the chaos.",82.04952344,85.75133361,80.91580672,86.71617846,67.63653432,82.54562975,84.86864409,81.12969347,82.34238341,82.84779491,74.300346150004,9.019243727354212
"Bruce Wayne and Alfred discuss the concept of subtlety within their urban environment, humorously juxtaposed with the powerful roar of a high-performance Lamborghini, before the scene dramatically cuts to a climactic title card reveal.",198.9913762,65.89865512,81.32811019,97.69205407,191.2038891,198.9260627,199.0284672,198.984188,86.38432726,78.47095893,78.14983277146297,9.212897785977791
