story_prompt,total_seconds,clap_score,audio_richness_spectral_flatness,audio_richness_spectral_entropy,noise_floor_db,audio_onsets,cinematic_dynamic_range_db,cinematic_crest_factor,cinematic_spectral_flatness,cinematic_spectral_entropy,cinematic_spectral_centroid_hz,spectral_kl_divergence,fad_score,audio_wav_path,audio_export_error,error,yt_coverage_score,yt_sync_score,yt_gemini_cues_json,yt_gemini_eval_error
"A man with an enigmatic past navigates sterile medical environments and unsettling revelations, uncovering disturbing truths about experimental treatments and tracking that suggest a profound and potentially dangerous transformation within himself.",57.86671015853062,0.4282457232475281,1.8835566e-05,2.9901168,-32.91747,4,75.94819757424547,6.451479075506959,1.883556615212001e-05,2.990116834640503,1132.2673764213725,,,/Users/ajitesh/Desktop/BTP/cinemaudio-studio/backend/Evaluation/Results/Results_from_server/audioldm_audios/prompt_4535861219.wav,,,14.285714285714285,0.0,"{""cues"":[{""audio_class"":""High-pitched wailing synth drone"",""starting_time"":0.0,""duration"":4.5,""weight_db"":-15.0},{""audio_class"":""Deep ominous creature growl / low rumble"",""starting_time"":2.5,""duration"":6.5,""weight_db"":-9.0}]}",
"Amidst the warm, inviting interiors of a family home, various generations interact with tender moments and subtle tensions, hinting at complex familial bonds and underlying emotional struggles.",57.935262045357376,0.17367631196975708,5.7799272e-05,4.081658,-22.257265,5,56.80036452532789,5.802973035059238,5.779927232651971e-05,4.081657886505127,1367.230224133596,,,/Users/ajitesh/Desktop/BTP/cinemaudio-studio/backend/Evaluation/Results/Results_from_server/audioldm_audios/prompt_329122f405.wav,,,0.0,0.0,"{""cues"":[{""audio_class"":""ambient atmospheric wind and room tone"",""starting_time"":0.0,""duration"":10.0,""weight_db"":-25.0},{""audio_class"":""ethereal breathy flute melody with reverb"",""starting_time"":0.0,""duration"":10.0,""weight_db"":-12.0},{""audio_class"":""resonant metallic chime hit"",""starting_time"":0.5,""duration"":2.5,""weight_db"":-10.5},{""audio_class"":""resonant metallic chime hit"",""starting_time"":2.5,""duration"":2.5,""weight_db"":-10.5},{""audio_class"":""resonant metallic chime hit"",""starting_time"":4.5,""duration"":2.5,""weight_db"":-10.5},{""audio_class"":""resonant metallic chime hit"",""starting_time"":6.5,""duration"":2.5,""weight_db"":-10.5},{""audio_class"":""resonant metallic chime hit"",""starting_time"":8.5,""duration"":1.5,""weight_db"":-10.5},{""audio_class"":""steady low-frequency digital pulse"",""starting_time"":0.0,""duration"":10.0,""weight_db"":-18.0},{""audio_class"":""soft high-pitched synth pad"",""starting_time"":0.0,""duration"":10.0,""weight_db"":-22.0}]}",
"A series of tense, rain-soaked western confrontations erupts across saloons and dusty streets, as a determined man in a fedora faces off against multiple adversaries amidst a hail of gunfire and declarations of impending battle.",57.92118202755228,0.14091813564300537,5.0655017e-05,3.2318716,-31.276623,3,73.6060965208108,9.390572153187714,5.065501682111062e-05,3.2318716049194336,1111.068536442656,,,/Users/ajitesh/Desktop/BTP/cinemaudio-studio/backend/Evaluation/Results/Results_from_server/audioldm_audios/prompt_0ad637f9b1.wav,,,0.0,0.0,"{""cues"":[{""audio_class"":""loud stadium crowd cheering and applause"",""starting_time"":0.0,""duration"":1.4,""weight_db"":-5.0},{""audio_class"":""sharp atmospheric cut-off transition"",""starting_time"":1.2,""duration"":0.5,""weight_db"":-10.0},{""audio_class"":""desolate whistling wind and hollow ambience"",""starting_time"":1.4,""duration"":8.6,""weight_db"":-28.0},{""audio_class"":""low-frequency ominous synth drone"",""starting_time"":2.0,""duration"":8.0,""weight_db"":-22.0},{""audio_class"":""deep male voice whispering 'Why' with heavy reverb"",""starting_time"":9.1,""duration"":0.9,""weight_db"":-12.5}]}",
"A calm restaurant conversation about violent films abruptly cuts to an explosive, over-the-top movie scene where a flamethrower-wielding soldier incinerates Nazis, then transitions to a vibrant montage of 1960s Los Angeles glamour and lively parties.",57.947004144545645,0.2873947024345398,8.1569124e-05,4.7688503,-33.661526,3,77.40026202850723,4.535413480406435,8.15691237221472e-05,4.768850326538086,1777.4080704359776,,,/Users/ajitesh/Desktop/BTP/cinemaudio-studio/backend/Evaluation/Results/Results_from_server/audioldm_audios/prompt_9f0179aa20.wav,,,14.285714285714285,0.0,"{""cues"":[{""audio_class"":""chaotic crowd screaming and panic ambience"",""starting_time"":0.0,""duration"":3.5,""weight_db"":-18.0},{""audio_class"":""intense rhythmic industrial percussion"",""starting_time"":0.0,""duration"":9.0,""weight_db"":-12.5},{""audio_class"":""sharp metallic impact sound effect"",""starting_time"":0.1,""duration"":0.8,""weight_db"":-10.0},{""audio_class"":""high-pitched synth textures"",""starting_time"":1.0,""duration"":5.0,""weight_db"":-22.0},{""audio_class"":""heavy mechanical stomp / bass hit"",""starting_time"":3.2,""duration"":0.7,""weight_db"":-9.5},{""audio_class"":""air whoosh transition effect"",""starting_time"":2.8,""duration"":1.2,""weight_db"":-15.0},{""audio_class"":""rapid metallic sword clashing sounds"",""starting_time"":4.5,""duration"":2.5,""weight_db"":-11.0},{""audio_class"":""low-frequency sub bass drone"",""starting_time"":2.0,""duration"":7.0,""weight_db"":-20.5},{""audio_class"":""distorted industrial grinding sound"",""starting_time"":6.0,""duration"":3.0,""weight_db"":-18.0},{""audio_class"":""orchestral percussion build-up"",""starting_time"":7.5,""duration"":1.5,""weight_db"":-13.2}]}",
"The clip transitions from a vibrant, yet subtly tense, nocturnal Hollywood of poolside relaxation and car conversations, into the bright daytime world of movie theaters, culminating with Sharon Tate joyfully witnessing her own performance on the big screen.",61.494547898182645,0.31202125549316406,0.0001583871,4.980395,-28.55711,1,68.13013300593786,10.188973720135637,0.00015838710532989353,4.9803948402404785,1522.2759242494215,,,/Users/ajitesh/Desktop/BTP/cinemaudio-studio/backend/Evaluation/Results/Results_from_server/audioldm_audios/prompt_0b92f63df3.wav,,,0.0,0.0,"{""cues"":[{""audio_class"":""energetic crowd chanting and cheering"",""starting_time"":0.0,""duration"":10.0,""weight_db"":-12.0},{""audio_class"":""loud stadium chant 'Wolverine'"",""starting_time"":0.0,""duration"":3.0,""weight_db"":-8.0},{""audio_class"":""deep cinematic synth growl"",""starting_time"":1.5,""duration"":3.5,""weight_db"":-15.5},{""audio_class"":""atmospheric stadium reverb and ambient noise"",""starting_time"":0.0,""duration"":10.0,""weight_db"":-25.0},{""audio_class"":""repetitive crowd rhythmic shouting"",""starting_time"":4.0,""duration"":4.5,""weight_db"":-14.0},{""audio_class"":""low-frequency orchestral sub-bass drone"",""starting_time"":6.8,""duration"":3.2,""weight_db"":-18.5}]}",
"The chaotic clip rapidly shifts between fantastical delusions of a towering creature causing explosive urban destruction and the stark reality of an actor grappling with inner voices, intense rooftop confrontations, a dramatic plunge from a skyscraper, and the overwhelming scrutiny of paparazzi.",61.409014251315966,0.421322762966156,5.5194887e-05,3.3442984,-32.96133,2,76.59587769143377,5.808142053943997,5.519488695426844e-05,3.3442983627319336,1354.4969565995661,,,/Users/ajitesh/Desktop/BTP/cinemaudio-studio/backend/Evaluation/Results/Results_from_server/audioldm_audios/prompt_47523e0b68.wav,,,12.5,0.0,"{""cues"":[{""audio_class"":""industrial mechanical drone and wind ambience"",""starting_time"":0.0,""duration"":10.0,""weight_db"":-24.5},{""audio_class"":""heavy metallic door opening impact with reverb"",""starting_time"":0.0,""duration"":1.8,""weight_db"":-9.0},{""audio_class"":""high-pitched metallic screech and grinding noise"",""starting_time"":0.5,""duration"":3.2,""weight_db"":-15.5},{""audio_class"":""rhythmic cinematic synth pulses with low-end bass"",""starting_time"":3.5,""duration"":6.5,""weight_db"":-18.0},{""audio_class"":""mechanical gear shifts and metallic clicking sounds"",""starting_time"":5.2,""duration"":2.5,""weight_db"":-13.5},{""audio_class"":""sharp metallic latch click / lock mechanism"",""starting_time"":8.0,""duration"":0.4,""weight_db"":-12.0},{""audio_class"":""dramatic metallic impact slam ending"",""starting_time"":8.9,""duration"":1.1,""weight_db"":-7.5}]}",
"A young warrior and his companion navigate perilous desert dunes, demonstrating raw, determined power as they use fremkit hooks to traverse the shifting sands, facing unseen, colossal forces that violently disturb the very landscape.",61.418056927854195,0.37054741382598877,3.94192e-05,3.0587761,-32.902153,19,74.95791457433144,4.674467323312558,3.941919931094162e-05,3.0587761402130127,1248.7898822458988,,,/Users/ajitesh/Desktop/BTP/cinemaudio-studio/backend/Evaluation/Results/Results_from_server/audioldm_audios/prompt_b4831736f6.wav,,,0.0,0.0,"{""cues"":[{""audio_class"":""low-frequency atmospheric drone"",""starting_time"":0.0,""duration"":9.2,""weight_db"":-28.0},{""audio_class"":""slow rhythmic metallic thuds"",""starting_time"":0.0,""duration"":3.5,""weight_db"":-11.5},{""audio_class"":""industrial gear grinding and mechanical whirring"",""starting_time"":0.5,""duration"":8.0,""weight_db"":-21.0},{""audio_class"":""rapid metallic percussion build-up"",""starting_time"":3.5,""duration"":5.1,""weight_db"":-7.5},{""audio_class"":""high-pitched metallic friction / screech"",""starting_time"":4.5,""duration"":3.5,""weight_db"":-24.0},{""audio_class"":""heavy dramatic impact sound effect"",""starting_time"":8.6,""duration"":0.6,""weight_db"":-4.5},{""audio_class"":""metallic reverb tail"",""starting_time"":8.8,""duration"":0.4,""weight_db"":-16.0},{""audio_class"":""rhythmic mechanical clicking sound"",""starting_time"":6.0,""duration"":2.5,""weight_db"":-19.5}]}",
"A weary James Bond confronts a skeptical M and a challenging superior about his past and readiness, before a massive explosion devastates a building, leaving a somber symbol of national loss in its wake.",61.386373499641195,0.4386920630931854,4.679004e-05,3.2392573,-31.687664,3,72.6166177420889,5.7528773093005325,4.6790039050392807e-05,3.239257335662842,1108.5478571573633,,,/Users/ajitesh/Desktop/BTP/cinemaudio-studio/backend/Evaluation/Results/Results_from_server/audioldm_audios/prompt_595a01abf9.wav,,,0.0,0.0,"{""cues"":[{""audio_class"":""angelic choral vocal melody"",""starting_time"":0.0,""duration"":1.6,""weight_db"":-14.0},{""audio_class"":""heavy cinematic impact with sub-bass tail"",""starting_time"":1.1,""duration"":2.5,""weight_db"":-7.5},{""audio_class"":""deep mechanical synth braam / growl"",""starting_time"":1.5,""duration"":4.5,""weight_db"":-9.0},{""audio_class"":""atmospheric low-frequency rumble"",""starting_time"":0.0,""duration"":9.5,""weight_db"":-22.0},{""audio_class"":""rhythmic low-frequency percussive thuds"",""starting_time"":5.2,""duration"":4.3,""weight_db"":-16.5},{""audio_class"":""metallic whoosh riser"",""starting_time"":0.8,""duration"":0.6,""weight_db"":-18.0}]}",
"In a seemingly tranquil small town, a man navigates a silent general store with meticulous caution, his quiet footsteps and the rustle of a plastic bag cutting through the eerie stillness until a faint, almost imperceptible announcement disrupts the unsettling calm.",60.449858584674075,0.2956806421279907,6.905517e-05,2.6730251,-29.859795,10,71.28053668152003,10.17257108153477,6.905516784172505e-05,2.673025131225586,1380.8410934423348,,,/Users/ajitesh/Desktop/BTP/cinemaudio-studio/backend/Evaluation/Results/Results_from_server/audioldm_audios/prompt_8acd94a91b.wav,,,33.33333333333333,0.01700215355075043,"{""cues"":[{""audio_class"":""low-frequency ambient room tone"",""starting_time"":0.0,""duration"":9.0,""weight_db"":-25.0},{""audio_class"":""rhythmic footsteps on hard surface"",""starting_time"":0.0,""duration"":4.2,""weight_db"":-16.5},{""audio_class"":""mechanical sliding door sound effect"",""starting_time"":1.5,""duration"":1.8,""weight_db"":-12.0},{""audio_class"":""metallic rattling of chains and shackles"",""starting_time"":4.0,""duration"":1.5,""weight_db"":-18.0},{""audio_class"":""heavy cinematic thud / door slamming shut"",""starting_time"":5.2,""duration"":1.2,""weight_db"":-8.5},{""audio_class"":""deep synth bass drone swell"",""starting_time"":6.0,""duration"":3.0,""weight_db"":-10.0},{""audio_class"":""sharp metallic scrape / blade sound effect"",""starting_time"":8.0,""duration"":1.0,""weight_db"":-14.0}]}",
"A helmet-clad soldier cautiously navigates a grimy, dimly lit urban corridor before being brutally ambushed by a bloodied operative, who then, protecting a young boy, plunges into a chaotic close-quarters gunfight against multiple assailants.",60.37036283337511,0.3032728433609009,0.00031097094,5.4941254,-18.292362,42,43.88666348590466,7.483593910262516,0.0003109709359705448,5.4941253662109375,2370.608953020056,,,/Users/ajitesh/Desktop/BTP/cinemaudio-studio/backend/Evaluation/Results/Results_from_server/audioldm_audios/prompt_cf2fd90480.wav,,,0.0,0.0,"{""cues"":[{""audio_class"":""sharp metallic sword unsheathing sound"",""starting_time"":0.0,""duration"":0.8,""weight_db"":-16.0},{""audio_class"":""low-frequency cinematic tension drone"",""starting_time"":0.0,""duration"":8.5,""weight_db"":-28.0},{""audio_class"":""clothing rustle and movement ambience"",""starting_time"":0.2,""duration"":1.5,""weight_db"":-22.0},{""audio_class"":""high-pitched metallic sword clang"",""starting_time"":1.0,""duration"":0.5,""weight_db"":-11.5},{""audio_class"":""secondary sharp sword impact"",""starting_time"":1.7,""duration"":0.6,""weight_db"":-12.0},{""audio_class"":""sequence of rapid metallic parries"",""starting_time"":2.3,""duration"":1.4,""weight_db"":-14.0},{""audio_class"":""heavy dull body impact / thud"",""starting_time"":3.6,""duration"":0.9,""weight_db"":-10.0},{""audio_class"":""metallic ringing resonance tail"",""starting_time"":4.5,""duration"":1.2,""weight_db"":-18.5},{""audio_class"":""aggressive male battle shout"",""starting_time"":5.1,""duration"":0.8,""weight_db"":-7.5},{""audio_class"":""loud cinematic explosion with bass impact"",""starting_time"":5.6,""duration"":2.5,""weight_db"":-5.0},{""audio_class"":""reverberant impact decay and wind tail"",""starting_time"":6.5,""duration"":2.0,""weight_db"":-15.0},{""audio_class"":""faint dramatic choral swell"",""starting_time"":7.0,""duration"":1.5,""weight_db"":-24.0}]}",
