# Ablation comparison: yt_coverage_score
objective: maximize
specialist_model_variant_tag filter: 'baseline_tango2'

## Best configuration by mean over prompts: baseline
value: 23.6346 (n_prompts=39)

## Best configuration by peak single-prompt score: toggle_use_dsp
value: 75 (n_prompts=35)

## Table
                                              label  mean_over_prompts  best_single_prompt_value  n_prompts
                                           baseline          23.634606                 50.000000         39
                      decide_model_gemini-2.5-flash          20.489518                 50.000000         36
                        toggle_fill_coverage_by_llm          21.182643                 50.000000         35
        toggle_use_avg_llm_and_dsp_to_predict_align          23.371648                 62.500000         29
toggle_use_dl_based_llm_and_dsp_alignment_predictor          19.571827                 37.500000         29
                                     toggle_use_dsp          22.343744                 75.000000         35
                    toggle_use_dsp_to_predict_align          19.833454                 75.000000         30
                    toggle_use_llm_to_predict_align          21.869168                 66.666667         30
                              toggle_use_movie_bgms          17.352656                 50.000000         32
                                toggle_use_narrator          19.955314                 50.000000         31

## Largest mean drop vs baseline
toggle_use_movie_bgms (delta=-6.28195)
