story_prompt,decide_model_gemini-2.5-flash,toggle_fill_coverage_by_llm,toggle_use_avg_llm_and_dsp_to_predict_align,toggle_use_dl_based_llm_and_dsp_alignment_predictor,toggle_use_dsp,toggle_use_dsp_to_predict_align,toggle_use_llm_to_predict_align,toggle_use_movie_bgms,toggle_use_narrator,BackgroundMellow_baseline,tango2,AudioLDM2
"A blue-skinned indigenous family battles futuristic human forces in a series of breathtaking aerial and ground skirmishes involving explosive weaponry and desperate escapes, highlighting their fierce resilience and familial bonds amidst chaos.",33.33333333,50.0,50.0,33.33333333,33.33333333,16.66666667,66.66666667,16.66666667,33.33333333,50.0,16.666666666666664,33.33333333333333
"A calm restaurant conversation about violent films abruptly cuts to an explosive, over-the-top movie scene where a flamethrower-wielding soldier incinerates Nazis, then transitions to a vibrant montage of 1960s Los Angeles glamour and lively parties.",28.57142857,14.28571429,28.57142857,28.57142857,0.0,28.57142857,28.57142857,0.0,14.28571429,42.85714286,14.285714285714285,14.285714285714285
"A chilling montage reveals a descent into a brutal world where a stoic killer targets the innocent, while others arm themselves for a desperate, violent confrontation with an inevitable, sinister force.",0.0,12.5,12.5,25.0,25.0,12.5,12.5,12.5,12.5,12.5,25.0,25.0
"A helmet-clad soldier cautiously navigates a grimy, dimly lit urban corridor before being brutally ambushed by a bloodied operative, who then, protecting a young boy, plunges into a chaotic close-quarters gunfight against multiple assailants.",37.5,25.0,50.0,25.0,50.0,75.0,50.0,37.5,37.5,37.5,12.5,0.0
"A man's hopeful quip in a desolate landscape quickly escalates into a frantic montage of fiery explosions and intense gunfire featuring a fierce woman, before plunging into ominous darkness where a monstrous, reptilian creature reveals its terrifying presence to a petrified observer.",33.33333333,33.33333333,50.0,33.33333333,33.33333333,50.0,0.0,33.33333333,16.66666667,33.33333333,16.666666666666664,0.0
"A quirky counselor interjects into a couple's seemingly troubled relationship, navigating their skepticism with a confident, slightly enigmatic demeanor across various domestic and public settings.",12.5,0.0,12.5,12.5,12.5,12.5,12.5,12.5,12.5,0.0,25.0,0.0
"A seemingly idyllic suburban life quickly unravels into a supernatural horror, as a woman's transformation and an ominous prophecy lead her to a dark, unsettling forest.",14.28571429,14.28571429,28.57142857,28.57142857,14.28571429,14.28571429,0.0,0.0,14.28571429,14.28571429,28.57142857142857,14.285714285714285
"A terrified woman's desperate flight from an unseen threat culminates in a horrific car collision on a desolate road, abruptly shifting to serene domestic scenes where mundane conversations about a troublesome tree hide a growing unease, underscored by glimpses of predatory wildlife in the night.",12.5,12.5,25.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,12.5,12.5
"A weary James Bond confronts a skeptical M and a challenging superior about his past and readiness, before a massive explosion devastates a building, leaving a somber symbol of national loss in its wake.",25.0,25.0,25.0,25.0,25.0,25.0,12.5,25.0,25.0,25.0,12.5,25.0
"A whirlwind montage of chaotic opulence, arrests, and extravagant revelry quickly transitions to a serene high-rise restaurant where a quirky mentor introduces a rhythmic, self-affirming ritual to a wide-eyed prot��g�� against the backdrop of a bustling city.",20.0,20.0,0.0,20.0,20.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0
"A whirlwind montage of lavish excess, power-flaunting, and hints of impending legal scrutiny, showcasing a charismatic financial mogul surrounded by money, beautiful women, and luxurious settings, culminating in a confrontational yacht encounter with federal agents.",0.0,16.66666667,16.66666667,33.33333333,16.66666667,0.0,16.66666667,16.66666667,0.0,16.66666667,16.666666666666664,0.0
"A young woman in a dense, sun-dappled forest experiences growing terror as mysterious events unfold, interspersed with scenes of an older woman sharing unsettling stories indoors, culminating in the young woman's horrified realization of a monstrous presence.",37.5,12.5,12.5,12.5,25.0,12.5,25.0,12.5,0.0,12.5,12.5,25.0
"Amidst a crumbling future where humanity immerses itself in the vibrant virtual realm of the OASIS, a high-stakes hunt for dominance ignites, forcing characters to confront the perilous fusion of digital escapism and tangible consequences.",14.28571429,28.57142857,28.57142857,28.57142857,14.28571429,14.28571429,42.85714286,14.28571429,28.57142857,14.28571429,14.285714285714285,28.57142857142857
"Amidst a rapid-fire montage of high-stakes combat, mysterious alien creatures, and colossal monsters unleash chaotic destruction across dark industrial settings and otherworldly forests, hinting at an epic, genre-bending war for survival.",37.5,50.0,62.5,37.5,75.0,37.5,50.0,50.0,50.0,37.5,12.5,37.5
"Amidst scenes of meticulous scientific assembly in both sterile labs and desolate desert outposts, a profound and escalating tension builds as brilliant minds confront the monumental, world-altering implications of their creation.",14.28571429,14.28571429,14.28571429,14.28571429,14.28571429,14.28571429,14.28571429,0.0,0.0,28.57142857,14.285714285714285,0.0
"An armored, monstrous creature grunts and struggles to pull itself through a dense, muddy forest floor, punctuated by on-screen text, before a dramatic transition to the iconic studio logo and a final ominous silhouette of a warrior.",50.0,50.0,50.0,25.0,37.5,62.5,62.5,37.5,37.5,50.0,12.5,12.5
"As an ancient ritual inadvertently unleashes terrifying demonic forces upon a modern city, desperate citizens and heroes alike must confront overwhelming destruction and grotesque horrors, culminating in a poignant moment of familial fear amidst the chaos.",25.0,25.0,25.0,25.0,25.0,25.0,12.5,25.0,25.0,25.0,25.0,12.5
"Bruce Wayne and Alfred discuss the concept of subtlety within their urban environment, humorously juxtaposed with the powerful roar of a high-performance Lamborghini, before the scene dramatically cuts to a climactic title card reveal.",14.28571429,14.28571429,28.57142857,14.28571429,28.57142857,28.57142857,28.57142857,14.28571429,28.57142857,28.57142857,28.57142857142857,14.285714285714285
"Humans are relentlessly pursued and terrorized by ferocious, unseen forces and monstrous creatures in a series of dark, chaotic, and fiery encounters, fighting desperately for survival against overwhelming odds.",22.22222222,33.33333333,33.33333333,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,33.33333333,44.44444444,44.44444444444444,22.22222222222222
"In a suburban park, a well-meaning but awkward father figure comically struggles to play football and connect with his stepson, while a supportive woman and a surprisingly athletic man later observe the budding friendship between the boys with smiles of approval.",28.57142857,14.28571429,14.28571429,28.57142857,14.28571429,14.28571429,28.57142857,14.28571429,14.28571429,14.28571429,14.285714285714285,0.0
"The clip rapidly stitches together unsettling scenes of tense pursuit, fleeting confrontations, and sudden, brutal violence across desolate landscapes and dimly lit interiors, hinting at a relentless and dangerous cat-and-mouse game.",12.5,25.0,12.5,0.0,12.5,12.5,0.0,12.5,12.5,37.5,12.5,50.0
"The clip rapidly transitions from intense night-time urban chaos and a distressed hospital scene to a desert car chase culminating in massive explosions and a frantic escape through a tunnel, before abruptly shifting to a serene rural landscape with calm conversation, setting a jarring contrast between high-stakes action and peaceful contemplation.",14.28571429,28.57142857,28.57142857,14.28571429,28.57142857,14.28571429,14.28571429,14.28571429,28.57142857,14.28571429,28.57142857142857,42.857142857142854
"The final moments of the trailer reveal the film's stark title and essential creative credits against a dark, bokeh-lit backdrop, culminating in a series of production company logos, signifying a contemplative conclusion.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"The scene abruptly shifts from a dimly lit, intense discussion between two men about writing a serial killer's story, punctuated by stark textual reveals and unsettling sound effects, to sun-drenched, idyllic moments of a loving couple joyfully embracing while moving into a charming, tree-lined suburban home, underscored by melancholic music and the nostalgic sound of a record player, hinting at a sharp dichotomy between dark narrative creation and a serene domestic life.",33.33333333,16.66666667,16.66666667,16.66666667,16.66666667,33.33333333,33.33333333,16.66666667,16.66666667,33.33333333,0.0,0.0
