story_prompt,baseline,decide_model_gemini-2.5-flash,toggle_fill_coverage_by_llm,toggle_use_avg_llm_and_dsp_to_predict_align,toggle_use_dl_based_llm_and_dsp_alignment_predictor,toggle_use_dsp,toggle_use_dsp_to_predict_align,toggle_use_llm_to_predict_align,toggle_use_movie_bgms,toggle_use_narrator,tango2,AudioLDM2
"A blue-skinned indigenous family battles futuristic human forces in a series of breathtaking aerial and ground skirmishes involving explosive weaponry and desperate escapes, highlighting their fierce resilience and familial bonds amidst chaos.",0.017883066,0.021642247,0.026446886,0.013466373,0.018577827,0.020429147,0.015787885,0.01172675,0.021556888,0.018869216,0.0002453017,5.0318973e-05
"A calm restaurant conversation about violent films abruptly cuts to an explosive, over-the-top movie scene where a flamethrower-wielding soldier incinerates Nazis, then transitions to a vibrant montage of 1960s Los Angeles glamour and lively parties.",0.0186132055,0.013087817,0.014885705,0.023860337,0.013057458,0.01324346,0.0070405337,0.010733131,0.017271725,0.015300097,0.00029570496,0.00013128437
"A chilling montage reveals a descent into a brutal world where a stoic killer targets the innocent, while others arm themselves for a desperate, violent confrontation with an inevitable, sinister force.",0.016981635,0.01699712,0.007203756,0.008136776,0.008825562,0.019356027,0.038695943,0.030547867,0.011704996,0.0055338033,0.00026210697,1.8218083e-05
"A helmet-clad soldier cautiously navigates a grimy, dimly lit urban corridor before being brutally ambushed by a bloodied operative, who then, protecting a young boy, plunges into a chaotic close-quarters gunfight against multiple assailants.",0.009199981,0.015735902,0.031298544,0.014414539,0.0102372905,0.010063194,0.01779311,0.013456878,0.027713906,0.029491955,0.0003589965,0.00021413657
"A man's hopeful quip in a desolate landscape quickly escalates into a frantic montage of fiery explosions and intense gunfire featuring a fierce woman, before plunging into ominous darkness where a monstrous, reptilian creature reveals its terrifying presence to a petrified observer.",0.008082357,0.012055836,0.01262412,0.033690795,0.02209261,0.035527192,0.044634227,0.9008496,0.00986506,0.1419178,0.00018927408,0.00022110889
"A quiet suburban night is shattered by the aftermath of a home invasion, revealing a seemingly ordinary man's unsettling calm amidst police inquiries and family distress, hinting at a suppressed, dangerous nature.",0.0061016344,0.0062081004,0.007869925,0.0043251044,0.0071488754,0.005814482,0.004313589,0.1928703,0.009916324,0.01691435,0.0002510146,0.00013768782
"A quirky counselor interjects into a couple's seemingly troubled relationship, navigating their skepticism with a confident, slightly enigmatic demeanor across various domestic and public settings.",0.013129419,0.003898517,0.0043136515,0.008781482,0.019285884,0.012561449,0.015436501,0.012212639,0.0043816175,0.011182329,0.00032318864,4.633313e-05
"A seemingly idyllic suburban life quickly unravels into a supernatural horror, as a woman's transformation and an ominous prophecy lead her to a dark, unsettling forest.",0.014783752,0.024664283,0.0102714235,0.0208832,0.014056578,0.014538019,0.13778697,0.07452485,0.010456365,0.018934995,0.0002861435,6.400673e-05
"A terrified woman's desperate flight from an unseen threat culminates in a horrific car collision on a desolate road, abruptly shifting to serene domestic scenes where mundane conversations about a troublesome tree hide a growing unease, underscored by glimpses of predatory wildlife in the night.",0.014225358,0.005086755,0.021534737,0.00842992,0.008416824,0.049930055,0.014175073,0.0067404825,0.027169561,0.022187214,0.00024911488,0.00029721463
"A weary James Bond confronts a skeptical M and a challenging superior about his past and readiness, before a massive explosion devastates a building, leaving a somber symbol of national loss in its wake.",0.009633085,0.026591212,0.008784253,0.012776044,0.0038389855,0.009331925,0.015244558,0.009760063,0.012034993,0.009434026,0.0001999876,2.423676e-05
"A whirlwind montage of chaotic opulence, arrests, and extravagant revelry quickly transitions to a serene high-rise restaurant where a quirky mentor introduces a rhythmic, self-affirming ritual to a wide-eyed prot��g�� against the backdrop of a bustling city.",0.021772621,0.091256194,0.042267215,0.040401693,0.03230609,0.015537828,0.038903672,0.011491548,0.011469285,0.037728056,0.00040130556,8.436774e-05
"A whirlwind montage of lavish excess, power-flaunting, and hints of impending legal scrutiny, showcasing a charismatic financial mogul surrounded by money, beautiful women, and luxurious settings, culminating in a confrontational yacht encounter with federal agents.",0.026440402,0.052444983,0.012221629,0.017422969,0.02335857,0.017701617,0.014922929,0.01049888,0.017868843,0.058564574,0.00025355557,1.3698138e-05
"A young woman in a dense, sun-dappled forest experiences growing terror as mysterious events unfold, interspersed with scenes of an older woman sharing unsettling stories indoors, culminating in the young woman's horrified realization of a monstrous presence.",0.010796519,0.017033726,0.0087409895,0.0065811076,0.013658126,0.01257375,0.013029302,0.010132911,0.007843954,0.010230192,0.00023688251,8.287807e-05
"Amidst a crumbling future where humanity immerses itself in the vibrant virtual realm of the OASIS, a high-stakes hunt for dominance ignites, forcing characters to confront the perilous fusion of digital escapism and tangible consequences.",0.02338504,0.015534441,0.014073286,0.022782076,0.011820112,0.2122253,0.040714324,0.07587541,0.23929834,0.013982161,0.00050879887,3.8906095e-05
"Amidst a rapid-fire montage of high-stakes combat, mysterious alien creatures, and colossal monsters unleash chaotic destruction across dark industrial settings and otherworldly forests, hinting at an epic, genre-bending war for survival.",0.01726717,0.011331652,0.02436458,0.021380503,0.015156943,0.025228126,0.014275334,0.021622088,0.020831363,0.01425458,0.00031939129,3.3476168e-05
"Amidst scenes of meticulous scientific assembly in both sterile labs and desolate desert outposts, a profound and escalating tension builds as brilliant minds confront the monumental, world-altering implications of their creation.",0.013006344,0.013512497,0.011246909,0.01925888,0.044784233,0.033198763,0.014869146,0.013977359,0.01666825,0.011004572,0.00029715247,1.3287701e-05
"An armored, monstrous creature grunts and struggles to pull itself through a dense, muddy forest floor, punctuated by on-screen text, before a dramatic transition to the iconic studio logo and a final ominous silhouette of a warrior.",0.4249688,0.06799042,0.06734533,0.01740074,0.02093021,0.009975225,0.016181141,0.045119666,0.020049319,0.022437368,0.00025989287,0.00022858747
"As an ancient ritual inadvertently unleashes terrifying demonic forces upon a modern city, desperate citizens and heroes alike must confront overwhelming destruction and grotesque horrors, culminating in a poignant moment of familial fear amidst the chaos.",0.0059009814,0.017009826,0.0096915895,0.018601025,0.017934572,0.009331456,0.009682891,0.01492297,0.0046886727,0.014387502,0.00023076704,2.977943e-05
"Bruce Wayne and Alfred discuss the concept of subtlety within their urban environment, humorously juxtaposed with the powerful roar of a high-performance Lamborghini, before the scene dramatically cuts to a climactic title card reveal.",0.010980459,0.0348586,0.007677358,0.0021200017,0.012298603,0.09692976,0.030980263,0.029350929,0.013402366,0.002709333,0.00030786934,6.824947e-05
"Humans are relentlessly pursued and terrorized by ferocious, unseen forces and monstrous creatures in a series of dark, chaotic, and fiery encounters, fighting desperately for survival against overwhelming odds.",0.01527178,0.009252272,0.026755853,0.025179146,0.04413383,0.017239314,0.027053246,0.0270668,0.056150325,0.014045637,0.0002937839,7.5372365e-05
"In a suburban park, a well-meaning but awkward father figure comically struggles to play football and connect with his stepson, while a supportive woman and a surprisingly athletic man later observe the budding friendship between the boys with smiles of approval.",0.0063127466,0.13250118,0.0061612558,0.007014799,0.009652908,0.047222074,0.17621441,0.037622746,0.0046583205,0.15105268,0.00026992135,3.1726533e-05
"The clip rapidly stitches together unsettling scenes of tense pursuit, fleeting confrontations, and sudden, brutal violence across desolate landscapes and dimly lit interiors, hinting at a relentless and dangerous cat-and-mouse game.",0.014728868,0.0424547,0.02842541,0.016597379,0.011066865,0.044684477,0.042265106,0.014190278,0.01810326,0.02372929,0.00030567322,3.4434146e-05
"The clip rapidly transitions from intense night-time urban chaos and a distressed hospital scene to a desert car chase culminating in massive explosions and a frantic escape through a tunnel, before abruptly shifting to a serene rural landscape with calm conversation, setting a jarring contrast between high-stakes action and peaceful contemplation.",0.0147978775,0.013735424,0.021203414,0.059404645,0.028306447,0.014039673,0.018805228,0.014159976,0.0065497556,0.011358472,0.00014762698,2.6467846e-05
"The final moments of the trailer reveal the film's stark title and essential creative credits against a dark, bokeh-lit backdrop, culminating in a series of production company logos, signifying a contemplative conclusion.",0.26712206,0.041570142,0.02869353,0.046111573,0.014846451,0.039684217,0.0125300065,0.016524924,0.011061117,0.013352143,0.0002541627,2.1159649e-05
"The scene abruptly shifts from a dimly lit, intense discussion between two men about writing a serial killer's story, punctuated by stark textual reveals and unsettling sound effects, to sun-drenched, idyllic moments of a loving couple joyfully embracing while moving into a charming, tree-lined suburban home, underscored by melancholic music and the nostalgic sound of a record player, hinting at a sharp dichotomy between dark narrative creation and a serene domestic life.",0.09459658,0.13066606,0.024915492,0.041491576,0.016275352,0.069205746,0.010289392,0.018381,0.0652406,0.025827685,0.00025197954,0.0012474655
"The scene transitions from the worried faces of Llewelyn and Carla Jean Moss, followed by the chilling presence of Anton Chigurh, to the impactful reveal of the movie title, encapsulating a mood of grim foreboding.",0.095019616,0.014639935,0.08324296,0.15820746,0.110238865,0.091706224,0.0059594014,0.017210592,0.006760119,0.03656454,0.00030038427,3.5788653e-05
"This clip presents a dynamic montage of breathtaking alien landscapes and intense confrontations, featuring Na'vi warriors forming profound bonds with majestic creatures while fiercely battling against overwhelming enemy forces in both aerial dogfights and colossal aquatic skirmishes.",0.006865657,0.008165458,0.012579141,0.013067095,0.010713345,0.014812907,0.010666758,0.0028745793,0.03226599,0.009506939,0.00026800434,1.1787616e-05
"Two frantic men attempt a chaotic escape from relentless pursuers in a parking lot, culminating in an absurdly intense car chase on the highway, suddenly soundtracked by an unexpected pop anthem.",0.01050934,0.0046603335,0.025205255,0.004973799,0.03923755,0.0058169025,0.008729452,0.012469388,0.011394573,0.008410578,0.00026811362,7.9929654e-05
"Within the grim confines of a prison yard and mess hall, an inmate's quiet contemplation of the sky and the natural world beyond inspires a fellow prisoner to articulate the enduring power of hope against formidable walls, a sentiment one wise elder acknowledges with a cautionary warning.",0.044337455,0.010984072,0.019486016,0.005892335,0.024702184,0.0895691,0.014981681,0.03985952,0.0063389307,0.0058141495,0.00023275631,1.781303e-05
