story_prompt,total_seconds,clap_score,audio_richness_spectral_flatness,audio_richness_spectral_entropy,noise_floor_db,audio_onsets,cinematic_dynamic_range_db,cinematic_crest_factor,cinematic_spectral_flatness,cinematic_spectral_entropy,cinematic_spectral_centroid_hz,spectral_kl_divergence,fad_score,error
"A man with an enigmatic past navigates sterile medical environments and unsettling revelations, uncovering disturbing truths about experimental treatments and tracking that suggest a profound and potentially dangerous transformation within himself.",38.03356508399929,0.4288423955440521,2.9369334e-05,3.128918,-34.183346,5,76.03614646799188,6.066948977654615,2.9369333788054064e-05,3.128917932510376,1189.4409160773212,,,
"Amidst the warm, inviting interiors of a family home, various generations interact with tender moments and subtle tensions, hinting at complex familial bonds and underlying emotional struggles.",38.02877766699976,0.24012857675552368,5.8380287e-05,2.7641656,-30.515121,8,70.62572751844758,12.839633986421692,5.8380286645842716e-05,2.7641656398773193,1307.517343245849,,,
"A series of tense, rain-soaked western confrontations erupts across saloons and dusty streets, as a determined man in a fedora faces off against multiple adversaries amidst a hail of gunfire and declarations of impending battle.",38.06918487499979,0.23718668520450592,6.3611595e-05,4.545381,-15.407723,55,39.962235902996696,12.612523411562309,6.36115946690552e-05,4.54538106918335,1024.1905619345227,,,
"A calm restaurant conversation about violent films abruptly cuts to an explosive, over-the-top movie scene where a flamethrower-wielding soldier incinerates Nazis, then transitions to a vibrant montage of 1960s Los Angeles glamour and lively parties.",38.05303520899952,0.3418424129486084,0.00013128437,4.921479,-33.404205,4,77.76384749849667,5.86583861480194,0.00013128436694387347,4.921479225158691,1865.9738508966109,,,
"The clip transitions from a vibrant, yet subtly tense, nocturnal Hollywood of poolside relaxation and car conversations, into the bright daytime world of movie theaters, culminating with Sharon Tate joyfully witnessing her own performance on the big screen.",40.319632197751616,0.40566909313201904,0.00012977303,4.9458413,-29.004889,13,68.75031972599231,9.620013570206462,0.00012977303413208574,4.945841312408447,1505.2716838445465,,,
"The chaotic clip rapidly shifts between fantastical delusions of a towering creature causing explosive urban destruction and the stark reality of an actor grappling with inner voices, intense rooftop confrontations, a dramatic plunge from a skyscraper, and the overwhelming scrutiny of paparazzi.",40.40549607275125,0.39202550053596497,4.7515132e-05,4.452677,-31.678017,8,74.72141022948696,5.884510559246822,4.751513188239187e-05,4.452676773071289,1349.6543838636649,,,
"A young warrior and his companion navigate perilous desert dunes, demonstrating raw, determined power as they use fremkit hooks to traverse the shifting sands, facing unseen, colossal forces that violently disturb the very landscape.",40.525766364751235,0.4131728708744049,4.0098763e-05,3.9395075,-33.916275,27,78.0009450524855,6.643291263019747,4.009876283816993e-05,3.939507484436035,1232.6065465173183,,,
"A weary James Bond confronts a skeptical M and a challenging superior about his past and readiness, before a massive explosion devastates a building, leaving a somber symbol of national loss in its wake.",40.406988072750664,0.48133644461631775,2.423676e-05,3.0006847,-31.828033,1,72.41088190872578,4.961134876224531,2.4236760509666055e-05,3.0006847381591797,1038.0825486423705,,,
"In a seemingly tranquil small town, a man navigates a silent general store with meticulous caution, his quiet footsteps and the rustle of a plastic bag cutting through the eerie stillness until a faint, almost imperceptible announcement disrupts the unsettling calm.",39.44975646900002,0.3699820339679718,8.69049e-05,2.320085,-30.011534,9,68.32559837449999,6.609819559860079,8.690490358276293e-05,2.320085048675537,1411.1116536200598,,,
"A helmet-clad soldier cautiously navigates a grimy, dimly lit urban corridor before being brutally ambushed by a bloodied operative, who then, protecting a young boy, plunges into a chaotic close-quarters gunfight against multiple assailants.",39.55183588499949,0.28969311714172363,0.00021413657,5.155373,-16.103458,46,41.951375242243564,6.404110401777928,0.00021413656941149384,5.1553730964660645,2087.8345562399545,,,
"In a claustrophobic, dimly lit urban alleyway, a rugged operative fiercely battles masked assailants in brutal hand-to-hand combat and gunfire, before frantically dragging a young civilian through the chaotic streets and up a flight of stairs to an open-air escape.",39.69288567700005,0.40728944540023804,0.00028561772,4.526199,-35.47804,39,78.20194509813146,5.083843700322031,0.0002856177161447704,4.526198863983154,2214.157244479926,,,
"Amidst scenes of meticulous scientific assembly in both sterile labs and desolate desert outposts, a profound and escalating tension builds as brilliant minds confront the monumental, world-altering implications of their creation.",39.571854761000395,0.3468196988105774,1.3287701e-05,2.343961,-33.61633,1,74.62401715979199,3.8723905748608143,1.328770122199785e-05,2.343961000442505,612.4630562250841,,,
