story_prompt,total_seconds,clap_score,audio_richness_spectral_flatness,audio_richness_spectral_entropy,noise_floor_db,audio_onsets,cinematic_dynamic_range_db,cinematic_crest_factor,cinematic_spectral_flatness,cinematic_spectral_entropy,cinematic_spectral_centroid_hz,spectral_kl_divergence,fad_score,error
"A man with an enigmatic past navigates sterile medical environments and unsettling revelations, uncovering disturbing truths about experimental treatments and tracking that suggest a profound and potentially dangerous transformation within himself.",168.91568260475105,0.1657576858997345,0.0002023547,5.5075455,-1.5082088,68,9.242954098105857,2.059439539776277,0.000202354698558338,5.507545471191406,2549.2090465004644,,,
"Amidst the warm, inviting interiors of a family home, various generations interact with tender moments and subtle tensions, hinting at complex familial bonds and underlying emotional struggles.",168.8436976457524,0.15293747186660767,0.000303423,5.8061113,-1.5517527,58,9.431652035690039,2.0932779053850594,0.0003034230030607432,5.8061113357543945,2665.7802955636757,,,
"A series of tense, rain-soaked western confrontations erupts across saloons and dusty streets, as a determined man in a fedora faces off against multiple adversaries amidst a hail of gunfire and declarations of impending battle.",168.85737372875155,0.15057748556137085,0.00024155069,5.084184,-1.5110497,76,9.118459184702427,2.031065413176294,0.0002415506896795705,5.084184169769287,2457.2443508202277,,,
"A calm restaurant conversation about violent films abruptly cuts to an explosive, over-the-top movie scene where a flamethrower-wielding soldier incinerates Nazis, then transitions to a vibrant montage of 1960s Los Angeles glamour and lively parties.",168.87493810474916,0.36498039960861206,0.00029570496,5.8408327,-1.5240139,69,9.44885862187178,2.1064372338059463,0.000295704958261922,5.840832710266113,2683.908964145678,,,
"The clip transitions from a vibrant, yet subtly tense, nocturnal Hollywood of poolside relaxation and car conversations, into the bright daytime world of movie theaters, culminating with Sharon Tate joyfully witnessing her own performance on the big screen.",166.60472907274743,0.24527716636657715,0.0002132309,4.8034186,-1.5191513,82,8.976411109781642,1.988931267620353,0.00021323090186342597,4.8034186363220215,2360.639233888214,,,
"The chaotic clip rapidly shifts between fantastical delusions of a towering creature causing explosive urban destruction and the stark reality of an actor grappling with inner voices, intense rooftop confrontations, a dramatic plunge from a skyscraper, and the overwhelming scrutiny of paparazzi.",166.5665640317493,0.2637186050415039,0.00027188953,5.818589,-1.5560309,58,9.96048996185604,2.2259470996228394,0.00027188952662982047,5.818589210510254,2714.382418405774,,,
"A young warrior and his companion navigate perilous desert dunes, demonstrating raw, determined power as they use fremkit hooks to traverse the shifting sands, facing unseen, colossal forces that violently disturb the very landscape.",166.57355548975102,0.11910909414291382,0.00034964783,6.065542,-1.5401348,47,9.191709637046086,2.036154910689711,0.000349647831171751,6.065542221069336,2807.205998808859,,,
"A weary James Bond confronts a skeptical M and a challenging superior about his past and readiness, before a massive explosion devastates a building, leaving a somber symbol of national loss in its wake.",166.58161936475153,0.10513785481452942,0.0001999876,5.422725,-1.5191687,61,9.232181515506841,2.053057787500483,0.00019998759671580046,5.422725200653076,2470.9545923238957,,,
"In a seemingly tranquil small town, a man navigates a silent general store with meticulous caution, his quiet footsteps and the rustle of a plastic bag cutting through the eerie stillness until a faint, almost imperceptible announcement disrupts the unsettling calm.",166.44089316600002,0.17610663175582886,0.00024272421,5.4449697,-1.5427783,69,9.303267613713121,2.0588922594253347,0.0002427242143312469,5.444969654083252,2507.773457966984,,,
"A helmet-clad soldier cautiously navigates a grimy, dimly lit urban corridor before being brutally ambushed by a bloodied operative, who then, protecting a young boy, plunges into a chaotic close-quarters gunfight against multiple assailants.",166.39693729200008,0.11712288856506348,0.0003589965,5.814435,-1.540898,88,9.295681875350535,2.0611892523783943,0.0003589965053834021,5.814435005187988,2847.6536275097055,,,
"In a claustrophobic, dimly lit urban alleyway, a rugged operative fiercely battles masked assailants in brutal hand-to-hand combat and gunfire, before frantically dragging a young civilian through the chaotic streets and up a flight of stairs to an open-air escape.",166.39212604200293,0.31862178444862366,0.0001830362,5.68698,-1.5177099,48,9.475455786498044,2.115992671032602,0.00018303620163351297,5.6869797706604,2706.7885201172385,,,
"Amidst scenes of meticulous scientific assembly in both sterile labs and desolate desert outposts, a profound and escalating tension builds as brilliant minds confront the monumental, world-altering implications of their creation.",166.39313691700227,0.11165114492177963,0.00029715247,5.814426,-1.5310794,47,9.167839906232919,2.0376379947007184,0.0002971524663735181,5.814425945281982,2768.2739067346997,,,
"An astronaut frantically grapples with failing equipment in the dark abyss of space, punctuated by a catastrophic explosion, before the scene transitions to a corporate logo and then back to the desperate astronaut spinning uncontrollably against the Earth, pleading for help amidst escalating chaos and radio silence.",166.37112551049813,0.41357603669166565,0.00029275022,5.84689,-1.5494132,39,9.023355523255807,1.993839113617045,0.00029275022097863257,5.846889972686768,2781.455015967401,,,
"Bruce Wayne and Alfred discuss the concept of subtlety within their urban environment, humorously juxtaposed with the powerful roar of a high-performance Lamborghini, before the scene dramatically cuts to a climactic title card reveal.",166.2844793435006,0.2620331645011902,0.00030786934,5.65192,-1.5334711,69,9.212897785977793,2.042667743831748,0.0003078693407587707,5.651919841766357,2595.3156528019686,,,
"A chilling montage reveals a descent into a brutal world where a stoic killer targets the innocent, while others arm themselves for a desperate, violent confrontation with an inevitable, sinister force.",166.30907896949884,0.17979148030281067,0.00026210697,5.378362,-1.5084546,64,9.21562895085555,2.0572190265206687,0.0002621069725137204,5.37836217880249,2715.3814806378628,,,
"The clip rapidly stitches together unsettling scenes of tense pursuit, fleeting confrontations, and sudden, brutal violence across desolate landscapes and dimly lit interiors, hinting at a relentless and dangerous cat-and-mouse game.",166.32146917750015,0.20425641536712646,0.00030567322,5.563118,-1.560487,68,9.390208745133066,2.0716147924698163,0.0003056732239201665,5.563117980957031,2707.0862993337983,,,
"The scene transitions from the worried faces of Llewelyn and Carla Jean Moss, followed by the chilling presence of Anton Chigurh, to the impactful reveal of the movie title, encapsulating a mood of grim foreboding.",168.15962315699653,0.10582131147384644,0.00030038427,5.8994236,-1.5472931,67,9.746951714584442,2.1760828000006245,0.00030038427212275565,5.899423599243164,2868.8544636181355,,,
"The final moments of the trailer reveal the film's stark title and essential creative credits against a dark, bokeh-lit backdrop, culminating in a series of production company logos, signifying a contemplative conclusion.",168.10811053099678,0.18592889606952667,0.0002541627,4.991722,-1.5128334,76,9.026294935426078,2.0046363787031996,0.000254162703640759,4.991722106933594,2359.9245162700195,,,
"A quiet suburban night is shattered by the aftermath of a home invasion, revealing a seemingly ordinary man's unsettling calm amidst police inquiries and family distress, hinting at a suppressed, dangerous nature.",168.11060578099932,0.1968158334493637,0.0002510146,5.569244,-1.5203782,66,9.214930035974854,2.0528895244706074,0.000251014600507915,5.569243907928467,2568.7215392399244,,,
"Amidst a crumbling future where humanity immerses itself in the vibrant virtual realm of the OASIS, a high-stakes hunt for dominance ignites, forcing characters to confront the perilous fusion of digital escapism and tangible consequences.",168.13572598999963,0.08872592449188232,0.00050879887,6.2922277,-1.831574,57,11.013595942748626,2.518602963885289,0.0005087988683953881,6.292227745056152,3842.57208044857,,,
"Within the grim confines of a prison yard and mess hall, an inmate's quiet contemplation of the sky and the natural world beyond inspires a fellow prisoner to articulate the enduring power of hope against formidable walls, a sentiment one wise elder acknowledges with a cautionary warning.",166.6729034887503,0.1632111370563507,0.00023275631,5.4572535,-1.5158715,70,9.107047566445223,2.0237613829651533,0.00023275631247088313,5.457253456115723,2408.3631271584577,,,
"A whirlwind montage of lavish excess, power-flaunting, and hints of impending legal scrutiny, showcasing a charismatic financial mogul surrounded by money, beautiful women, and luxurious settings, culminating in a confrontational yacht encounter with federal agents.",166.6441345727544,0.2729773223400116,0.00025355557,5.6202397,-1.5519761,61,9.085028278215834,2.005355596869883,0.00025355556863360107,5.620239734649658,2726.68193171893,,,
"A whirlwind montage of chaotic opulence, arrests, and extravagant revelry quickly transitions to a serene high-rise restaurant where a quirky mentor introduces a rhythmic, self-affirming ritual to a wide-eyed prot��g�� against the backdrop of a bustling city.",166.64591219774957,0.176844984292984,0.00040130556,5.38421,-1.6125883,66,9.811959597842732,2.1529011625042624,0.0004013055586256087,5.384210109710693,2707.4468994392396,,,
"In a suburban park, a well-meaning but awkward father figure comically struggles to play football and connect with his stepson, while a supportive woman and a surprisingly athletic man later observe the budding friendship between the boys with smiles of approval.",166.70817403075125,0.170665442943573,0.00026992135,5.713041,-1.554425,65,9.240038670047653,2.0376006591640814,0.0002699213509913534,5.713040828704834,2647.127855555498,,,
"Two frantic men attempt a chaotic escape from relentless pursuers in a parking lot, culminating in an absurdly intense car chase on the highway, suddenly soundtracked by an unexpected pop anthem.",168.63355252075598,0.39617490768432617,0.00026811362,5.6836205,-1.5390167,52,8.757751811225585,1.9332363774683856,0.0002681136247701943,5.683620452880859,2683.783637978545,,,
"An armored, monstrous creature grunts and struggles to pull itself through a dense, muddy forest floor, punctuated by on-screen text, before a dramatic transition to the iconic studio logo and a final ominous silhouette of a warrior.",168.6129868127482,0.26135921478271484,0.00025989287,6.0398083,-1.5186992,65,9.23762460283701,2.058445972651861,0.0002598928695078939,6.03980827331543,2844.220802741556,,,
"Amidst a rapid-fire montage of high-stakes combat, mysterious alien creatures, and colossal monsters unleash chaotic destruction across dark industrial settings and otherworldly forests, hinting at an epic, genre-bending war for survival.",168.60392889574905,0.2472285032272339,0.00031939129,5.8674307,-1.5517956,66,9.509211419781717,2.1097650629158227,0.00031939128530211747,5.867430686950684,2828.0819106889294,,,
"A man's hopeful quip in a desolate landscape quickly escalates into a frantic montage of fiery explosions and intense gunfire featuring a fierce woman, before plunging into ominous darkness where a monstrous, reptilian creature reveals its terrifying presence to a petrified observer.",168.5928739787505,0.38223910331726074,0.00018927408,5.7755833,-1.5607175,64,9.611468571858534,2.1320744140261216,0.00018927408382296562,5.775583267211914,2790.0472839708123,,,
"A blue-skinned indigenous family battles futuristic human forces in a series of breathtaking aerial and ground skirmishes involving explosive weaponry and desperate escapes, highlighting their fierce resilience and familial bonds amidst chaos.",164.7340812920006,0.21962648630142212,0.0002453017,5.545236,-1.5194553,64,9.044731293441972,2.010052590289674,0.00024530169321224093,5.545236110687256,2616.1093496157673,,,
"This clip presents a dynamic montage of breathtaking alien landscapes and intense confrontations, featuring Na'vi warriors forming profound bonds with majestic creatures while fiercely battling against overwhelming enemy forces in both aerial dogfights and colossal aquatic skirmishes.",164.6776864590006,0.335922509431839,0.00026800434,5.694411,-1.5323172,69,9.544846124863254,2.126099517263595,0.00026800433988682926,5.694410800933838,2642.0486469682583,,,
"A young girl transitions from an innocent conversation about monsters and money with an older man and a chicken in a dimly lit, cozy home to a chaotic, explosive urban battlefield where she confronts real monsters amidst fireworks and destruction.",164.7033194999999,0.26197025179862976,0.000269288,5.8317,-1.6313399,77,10.161182510391324,2.2405728730238335,0.00026928799343295395,5.831699848175049,2829.6362786282734,,,
"The clip rapidly transitions from intense night-time urban chaos and a distressed hospital scene to a desert car chase culminating in massive explosions and a frantic escape through a tunnel, before abruptly shifting to a serene rural landscape with calm conversation, setting a jarring contrast between high-stakes action and peaceful contemplation.",164.69244345799916,0.2822539806365967,0.00014762698,4.3849425,-1.5079181,85,9.390894910668312,2.092122083087238,0.00014762698265258223,4.384942531585693,2230.172499839467,,,
