story_prompt,total_seconds,clap_score,audio_richness_spectral_flatness,audio_richness_spectral_entropy,noise_floor_db,audio_onsets,cinematic_dynamic_range_db,cinematic_crest_factor,cinematic_spectral_flatness,cinematic_spectral_entropy,cinematic_spectral_centroid_hz,spectral_kl_divergence,fad_score,audio_wav_path,audio_export_error,error,yt_coverage_score,yt_sync_score,yt_gemini_cues_json,yt_gemini_eval_error
"A man with an enigmatic past navigates sterile medical environments and unsettling revelations, uncovering disturbing truths about experimental treatments and tracking that suggest a profound and potentially dangerous transformation within himself.",50.94782303785905,0.25445568561553955,0.0004414582,6.201162,-1.5579488,47,10.568757496559575,2.5138582108577725,0.00044145819265395403,6.201161861419678,3531.770861524133,,,/Users/ajitesh/Desktop/BTP/cinemaudio-studio/backend/Evaluation/Results/Results_from_server/tango2_audios/prompt_4535861219.wav,,,14.285714285714285,0.001962792402841046,"{""cues"":[{""audio_class"":""intense distorted radio static and white noise drone"",""starting_time"":0,""duration"":10,""weight_db"":-7.5},{""audio_class"":""rhythmic low-frequency helicopter rotor thumping"",""starting_time"":0,""duration"":10,""weight_db"":-11.0},{""audio_class"":""distorted male voice speaking through radio transmitter"",""starting_time"":0.5,""duration"":7.8,""weight_db"":-14.5},{""audio_class"":""deep sub-bass atmospheric rumble / room tone"",""starting_time"":0,""duration"":10,""weight_db"":-19.0},{""audio_class"":""high-pitched electronic feedback and signal squelch"",""starting_time"":2.2,""duration"":1.4,""weight_db"":-16.0},{""audio_class"":""indistinct background radio chatter and overlapping voices"",""starting_time"":3.5,""duration"":5.5,""weight_db"":-24.0},{""audio_class"":""metallic mechanical clicking / tape reel noise"",""starting_time"":0,""duration"":3.0,""weight_db"":-21.0}]}",
"Amidst the warm, inviting interiors of a family home, various generations interact with tender moments and subtle tensions, hinting at complex familial bonds and underlying emotional struggles.",50.84271444519982,0.22672158479690552,0.00030205393,6.147744,-1.5321814,65,9.507241801267245,2.1164175615669047,0.000302053929772228,6.147744178771973,2955.8798031909296,,,/Users/ajitesh/Desktop/BTP/cinemaudio-studio/backend/Evaluation/Results/Results_from_server/tango2_audios/prompt_329122f405.wav,,,0.0,0.0,"{""cues"":[{""audio_class"":""high-frequency crowd uproar and cheering"",""starting_time"":0.0,""duration"":9.0,""weight_db"":-11.0},{""audio_class"":""distorted mechanical engine screech with bass thrum"",""starting_time"":0.2,""duration"":4.8,""weight_db"":-7.5},{""audio_class"":""aggressive whoosh bypass sound effect"",""starting_time"":1.1,""duration"":1.5,""weight_db"":-10.0},{""audio_class"":""high-pitched electronic siren / alarm sound"",""starting_time"":1.5,""duration"":3.0,""weight_db"":-19.5},{""audio_class"":""reverberant female vocal command / shout"",""starting_time"":5.6,""duration"":2.4,""weight_db"":-13.0},{""audio_class"":""low-end cinematic sub-bass drone"",""starting_time"":0.0,""duration"":6.5,""weight_db"":-24.0},{""audio_class"":""chaotic environmental sci-fi atmosphere"",""starting_time"":4.5,""duration"":4.5,""weight_db"":-18.0},{""audio_class"":""metallic clatter and debris textures"",""starting_time"":2.0,""duration"":2.5,""weight_db"":-16.0}]}",
"A series of tense, rain-soaked western confrontations erupts across saloons and dusty streets, as a determined man in a fedora faces off against multiple adversaries amidst a hail of gunfire and declarations of impending battle.",50.84803791856393,0.24152173101902008,0.0002916016,5.852329,-1.5303863,55,9.243744697314401,2.0531189456623844,0.0002916016092058271,5.852328777313232,2675.3796022058305,,,/Users/ajitesh/Desktop/BTP/cinemaudio-studio/backend/Evaluation/Results/Results_from_server/tango2_audios/prompt_0ad637f9b1.wav,,,28.57142857142857,0.00028649551837385,"{""cues"":[{""audio_class"":""intense action music with driving percussion"",""starting_time"":0.0,""duration"":9.0,""weight_db"":-12.0},{""audio_class"":""ambient chaos and explosion sounds"",""starting_time"":0.0,""duration"":3.0,""weight_db"":-8.5},{""audio_class"":""high-pitched screaming and background shouting"",""starting_time"":0.0,""duration"":2.5,""weight_db"":-10.0},{""audio_class"":""male character shouting dialogue"",""starting_time"":1.0,""duration"":2.5,""weight_db"":-6.0},{""audio_class"":""dramatic male voice dialogue"",""starting_time"":4.5,""duration"":4.0,""weight_db"":-5.0},{""audio_class"":""orchestral build-up with strings"",""starting_time"":4.0,""duration"":5.0,""weight_db"":-15.0},{""audio_class"":""metallic clang impact sound effect"",""starting_time"":8.5,""duration"":0.5,""weight_db"":-7.0},{""audio_class"":""rhythmic percussion with synth bass"",""starting_time"":2.0,""duration"":7.0,""weight_db"":-14.0},{""audio_class"":""wind whoosh and fire rumble ambience"",""starting_time"":0.0,""duration"":4.0,""weight_db"":-18.0}]}",
"A calm restaurant conversation about violent films abruptly cuts to an explosive, over-the-top movie scene where a flamethrower-wielding soldier incinerates Nazis, then transitions to a vibrant montage of 1960s Los Angeles glamour and lively parties.",50.83686901582405,0.3376327157020569,0.00044621903,5.7508545,-1.5631173,54,8.718854495037638,1.9209423114496988,0.000446219026343897,5.7508544921875,2737.858161763397,,,/Users/ajitesh/Desktop/BTP/cinemaudio-studio/backend/Evaluation/Results/Results_from_server/tango2_audios/prompt_9f0179aa20.wav,,,14.285714285714285,0.0,"{""cues"":[{""audio_class"":""intense metallic digital glitch roar"",""starting_time"":0.0,""duration"":2.2,""weight_db"":-8.0},{""audio_class"":""low industrial background drone"",""starting_time"":0.0,""duration"":10.0,""weight_db"":-28.0},{""audio_class"":""high-pitched distorted synth shriek"",""starting_time"":0.5,""duration"":4.0,""weight_db"":-12.5},{""audio_class"":""rapid mechanical clicking and glitch sounds"",""starting_time"":0.1,""duration"":1.8,""weight_db"":-15.0},{""audio_class"":""dramatic metallic impact sound effect"",""starting_time"":1.1,""duration"":0.4,""weight_db"":-9.5},{""audio_class"":""terrified female scream"",""starting_time"":3.2,""duration"":3.5,""weight_db"":-11.0},{""audio_class"":""child-like high-pitched scream"",""starting_time"":4.8,""duration"":2.2,""weight_db"":-14.0},{""audio_class"":""descending whoosh / riser release sound effect"",""starting_time"":4.5,""duration"":2.8,""weight_db"":-13.0},{""audio_class"":""intense peaking high-frequency scream"",""starting_time"":7.3,""duration"":2.7,""weight_db"":-6.5},{""audio_class"":""heavy thud / industrial impact"",""starting_time"":9.6,""duration"":0.4,""weight_db"":-10.0}]}",
"The clip transitions from a vibrant, yet subtly tense, nocturnal Hollywood of poolside relaxation and car conversations, into the bright daytime world of movie theaters, culminating with Sharon Tate joyfully witnessing her own performance on the big screen.",50.184194133616984,0.14766927063465118,0.0003601408,5.8873925,-1.5869055,43,9.474379985546863,2.078923398447105,0.00036014080978929996,5.887392520904541,2838.3959084740536,,,/Users/ajitesh/Desktop/BTP/cinemaudio-studio/backend/Evaluation/Results/Results_from_server/tango2_audios/prompt_0b92f63df3.wav,,,33.33333333333333,0.0,"{""cues"":[{""audio_class"":""high-pitched emergency siren with oscillating tone"",""starting_time"":0.0,""duration"":3.2,""weight_db"":-16.5},{""audio_class"":""overlapping crowd panic and distant screaming"",""starting_time"":0.0,""duration"":4.5,""weight_db"":-14.0},{""audio_class"":""deep cinematic sub-bass rumble"",""starting_time"":0.2,""duration"":8.8,""weight_db"":-18.0},{""audio_class"":""intense ice crystallization and sharp cracking SFX"",""starting_time"":0.8,""duration"":5.0,""weight_db"":-9.5},{""audio_class"":""heavy orchestral brass hit with long decay"",""starting_time"":2.1,""duration"":2.5,""weight_db"":-6.0},{""audio_class"":""distressed male character dialogue shouting"",""starting_time"":3.4,""duration"":1.8,""weight_db"":-11.2},{""audio_class"":""dark synth pad with low-frequency movement"",""starting_time"":4.5,""duration"":4.5,""weight_db"":-22.0},{""audio_class"":""glass shattering and frozen debris impact"",""starting_time"":5.8,""duration"":2.2,""weight_db"":-13.5},{""audio_class"":""metallic scrape and resonance effect"",""starting_time"":7.2,""duration"":1.5,""weight_db"":-19.0},{""audio_class"":""low-end cinematic boom impact"",""starting_time"":8.5,""duration"":0.5,""weight_db"":-7.5}]}",
"The chaotic clip rapidly shifts between fantastical delusions of a towering creature causing explosive urban destruction and the stark reality of an actor grappling with inner voices, intense rooftop confrontations, a dramatic plunge from a skyscraper, and the overwhelming scrutiny of paparazzi.",50.122092043980956,0.3146114945411682,0.0003411832,6.044065,-1.5222151,56,9.205230553196095,2.0472432048416174,0.0003411831858102232,6.044064998626709,2885.053241320274,,,/Users/ajitesh/Desktop/BTP/cinemaudio-studio/backend/Evaluation/Results/Results_from_server/tango2_audios/prompt_47523e0b68.wav,,,12.5,0.0,"{""cues"":[{""audio_class"":""epic orchestral music with rhythmic strings and aggressive brass"",""starting_time"":0,""duration"":9,""weight_db"":-14.5},{""audio_class"":""ambient crowd screaming and chaotic background noise"",""starting_time"":0,""duration"":9,""weight_db"":-22.0},{""audio_class"":""rapid aerodynamic whoosh and wind displacement"",""starting_time"":0,""duration"":1.8,""weight_db"":-11.0},{""audio_class"":""large-scale explosion and heavy debris impact"",""starting_time"":1.8,""duration"":2.5,""weight_db"":-7.5},{""audio_class"":""metallic clanging and mechanical scraping sounds"",""starting_time"":4.5,""duration"":2.0,""weight_db"":-16.0},{""audio_class"":""high-pitched energy surge and electrical hum"",""starting_time"":6.5,""duration"":2.5,""weight_db"":-13.0},{""audio_class"":""deep sub-bass cinematic hit"",""starting_time"":2.0,""duration"":1.5,""weight_db"":-10.0},{""audio_class"":""sharp cinematic transition swoosh"",""starting_time"":8.2,""duration"":0.8,""weight_db"":-9.0}]}",
"A young warrior and his companion navigate perilous desert dunes, demonstrating raw, determined power as they use fremkit hooks to traverse the shifting sands, facing unseen, colossal forces that violently disturb the very landscape.",50.113798985257745,0.09008803218603134,0.00027047104,5.67948,-1.5238266,63,8.966634394892045,1.9881082098814715,0.0002704710350371897,5.679480075836182,2694.3297415110105,,,/Users/ajitesh/Desktop/BTP/cinemaudio-studio/backend/Evaluation/Results/Results_from_server/tango2_audios/prompt_b4831736f6.wav,,,14.285714285714285,0.0,"{""cues"":[{""audio_class"":""intense high-pitched screaming and vocal chaos"",""starting_time"":0.0,""duration"":3.5,""weight_db"":-8.2},{""audio_class"":""high-energy rhythmic industrial percussion"",""starting_time"":0.0,""duration"":10.0,""weight_db"":-11.5},{""audio_class"":""deep cinematic low-frequency mechanical drone"",""starting_time"":0.0,""duration"":10.0,""weight_db"":-24.0},{""audio_class"":""high-pitched metallic screech / mechanical SFX"",""starting_time"":1.5,""duration"":2.8,""weight_db"":-14.5},{""audio_class"":""heavy cinematic sub-bass impact hit"",""starting_time"":4.2,""duration"":1.5,""weight_db"":-9.8},{""audio_class"":""rapid rhythmic electronic synth pulses"",""starting_time"":5.8,""duration"":4.2,""weight_db"":-15.2},{""audio_class"":""rising tension transition whoosh effect"",""starting_time"":8.2,""duration"":1.8,""weight_db"":-13.0}]}",
"A weary James Bond confronts a skeptical M and a challenging superior about his past and readiness, before a massive explosion devastates a building, leaving a somber symbol of national loss in its wake.",50.121433983556926,0.13569286465644836,0.00032189145,5.432413,-1.552344,69,8.91814234867035,1.9617343131021399,0.0003218914498575032,5.432413101196289,2431.974823578936,,,/Users/ajitesh/Desktop/BTP/cinemaudio-studio/backend/Evaluation/Results/Results_from_server/tango2_audios/prompt_595a01abf9.wav,,,25.0,0.0,"{""cues"":[{""audio_class"":""Aggressive high-pitched engine roar and wind noise"",""starting_time"":0.0,""duration"":3.5,""weight_db"":-8.2},{""audio_class"":""Chaotic shouting and vocal battle cries"",""starting_time"":0.2,""duration"":1.8,""weight_db"":-12.5},{""audio_class"":""Massive cinematic explosion and debris impact"",""starting_time"":1.5,""duration"":2.8,""weight_db"":-5.0},{""audio_class"":""Metallic clanging and mechanical screeching"",""starting_time"":1.0,""duration"":1.5,""weight_db"":-14.0},{""audio_class"":""Deep orchestral 'braam' brass hit"",""starting_time"":3.8,""duration"":2.2,""weight_db"":-9.5},{""audio_class"":""Gravelly female character dialogue"",""starting_time"":5.2,""duration"":3.8,""weight_db"":-10.0},{""audio_class"":""Rhythmic industrial percussion with synth bass pulse"",""starting_time"":0.0,""duration"":10.0,""weight_db"":-20.0},{""audio_class"":""High-tension rising orchestral strings"",""starting_time"":6.5,""duration"":3.5,""weight_db"":-18.5},{""audio_class"":""Sub-bass drop transition / whoosh"",""starting_time"":9.2,""duration"":0.8,""weight_db"":-7.5},{""audio_class"":""Sharp snare drum crack with reverb"",""starting_time"":4.0,""duration"":0.5,""weight_db"":-11.0}]}",
"In a seemingly tranquil small town, a man navigates a silent general store with meticulous caution, his quiet footsteps and the rustle of a plastic bag cutting through the eerie stillness until a faint, almost imperceptible announcement disrupts the unsettling calm.",50.00634518242441,0.03410496562719345,0.00028919792,6.0003734,-1.5662746,48,9.794346521502018,2.1741804130994544,0.0002891979238484055,6.000373363494873,2839.055930059079,,,/Users/ajitesh/Desktop/BTP/cinemaudio-studio/backend/Evaluation/Results/Results_from_server/tango2_audios/prompt_8acd94a91b.wav,,,33.33333333333333,0.0,"{""cues"":[{""audio_class"":""rushing wind and engine roar ambience"",""starting_time"":0.0,""duration"":2.8,""weight_db"":-12.5},{""audio_class"":""distorted electronic static and radio noise"",""starting_time"":0.0,""duration"":1.5,""weight_db"":-18.0},{""audio_class"":""cinematic transition whoosh effect"",""starting_time"":1.8,""duration"":2.0,""weight_db"":-15.5},{""audio_class"":""low-frequency dramatic thud impact"",""starting_time"":3.7,""duration"":0.8,""weight_db"":-14.0},{""audio_class"":""upbeat 1960s rock music with rhythmic drums"",""starting_time"":3.8,""duration"":5.2,""weight_db"":-22.0},{""audio_class"":""primary male narrator dialogue"",""starting_time"":4.1,""duration"":2.5,""weight_db"":-10.5},{""audio_class"":""background set chatter and crowd ambience"",""starting_time"":4.0,""duration"":5.0,""weight_db"":-28.5},{""audio_class"":""secondary male character dialogue"",""starting_time"":7.3,""duration"":1.7,""weight_db"":-13.5},{""audio_class"":""high-frequency metallic ring out"",""starting_time"":3.8,""duration"":3.0,""weight_db"":-24.0}]}",
"A helmet-clad soldier cautiously navigates a grimy, dimly lit urban corridor before being brutally ambushed by a bloodied operative, who then, protecting a young boy, plunges into a chaotic close-quarters gunfight against multiple assailants.",49.910243845311925,0.1261739730834961,0.00036967648,6.044859,-1.5865533,49,10.145426292693173,2.26248175129406,0.00036967647611163557,6.044858932495117,2971.2165199992464,,,/Users/ajitesh/Desktop/BTP/cinemaudio-studio/backend/Evaluation/Results/Results_from_server/tango2_audios/prompt_cf2fd90480.wav,,,0.0,0.0,"{""cues"":[{""audio_class"":""loud crashing debris and chaotic wind SFX"",""starting_time"":0,""duration"":3.5,""weight_db"":-5.0},{""audio_class"":""distressed shouting and panic vocals"",""starting_time"":0.2,""duration"":2.5,""weight_db"":-8.5},{""audio_class"":""deep cinematic low-end drone / sub-bass rumble"",""starting_time"":2.5,""duration"":6.5,""weight_db"":-18.0},{""audio_class"":""atmospheric wind and rain ambience"",""starting_time"":3.0,""duration"":6.0,""weight_db"":-22.0},{""audio_class"":""rising orchestral strings with high tension"",""starting_time"":3.8,""duration"":5.2,""weight_db"":-14.0},{""audio_class"":""male voice shouting dialogue"",""starting_time"":5.5,""duration"":1.2,""weight_db"":-10.5},{""audio_class"":""rhythmic percussion with industrial metallic textures"",""starting_time"":6.8,""duration"":2.2,""weight_db"":-12.0},{""audio_class"":""dramatic impact sound effect / boom"",""starting_time"":8.5,""duration"":0.5,""weight_db"":-7.0}]}",
